x,y,y_pred
-1.484928900000000107e+00,7.081745999999999874e-01,1.026122777700442912e+00
-1.477724800000000061e+00,7.015168000000000514e-01,1.023687691343917461e+00
-1.475130999999999970e+00,7.878241999999999745e-01,1.022810950739045710e+00
-1.473918800000000084e+00,7.268307999999999991e-01,1.022401210218872647e+00
-1.469589400000000046e+00,8.660132000000000385e-01,1.020937812588087024e+00
-1.465136599999999900e+00,6.099426000000000014e-01,1.019432704034855197e+00
-1.464996500000000035e+00,6.414351000000000358e-01,1.019385348279306713e+00
-1.464958200000000099e+00,7.035607999999999862e-01,1.019372402344706385e+00
-1.463288799999999945e+00,6.997757000000000005e-01,1.018808121842827541e+00
-1.461870500000000073e+00,6.184794999999999598e-01,1.018328716645862109e+00
-1.461593399999999932e+00,7.557184000000000124e-01,1.018235052978034849e+00
-1.459687500000000027e+00,8.244076999999999655e-01,1.017590832175033544e+00
-1.458523999999999932e+00,7.992040999999999729e-01,1.017197552934626437e+00
-1.458173500000000011e+00,2.509610900000000200e+00,1.017079079042264800e+00
-1.457566399999999929e+00,8.193762999999999463e-01,1.016657978994820910e+00
-1.456634599999999891e+00,2.958587999999999774e-01,1.016011658744107038e+00
-1.449436500000000017e+00,2.303330599999999784e+00,1.011018872956747972e+00
-1.447243300000000010e+00,4.740904000000000229e-01,1.009497613487049472e+00
-1.437725300000000095e+00,2.433801700000000068e+00,1.002895685877807308e+00
-1.435129199999999994e+00,1.022390600000000038e+00,1.001094964689915656e+00
-1.425005099999999914e+00,2.650265300000000046e+00,9.940726306587400751e-01
-1.422935700000000026e+00,5.136910000000000087e-01,9.926372420272455699e-01
-1.422350800000000026e+00,6.417523000000000533e-01,9.922315404661353755e-01
-1.422179000000000082e+00,4.705368999999999802e-01,9.921123756034260222e-01
-1.419097599999999959e+00,9.047256999999999660e-01,9.899750379552731960e-01
-1.415463899999999997e+00,7.583385000000000264e-01,9.874546109376536318e-01
-1.413850800000000074e+00,5.578212999999999644e-01,9.863357236266144801e-01
-1.412892000000000037e+00,2.080267800000000111e+00,9.856706754871166209e-01
-1.412768500000000094e+00,6.145281999999999689e-01,9.855850127365659574e-01
-1.411024400000000067e+00,2.669609299999999852e+00,9.843752604836474296e-01
-1.408825500000000064e+00,9.685074000000000183e-01,9.828500473485389799e-01
-1.408449999999999980e+00,6.317469000000000001e-01,9.825895909693339592e-01
-1.406231400000000020e+00,5.635122999999999660e-01,9.810507134116680517e-01
-1.406032900000000030e+00,9.201916999999999458e-01,9.809130287478275978e-01
-1.404855900000000046e+00,3.338935000000000097e-01,9.800966315219314939e-01
-1.404855900000000046e+00,2.675175000000000192e-01,9.800966315219314939e-01
-1.401563600000000021e+00,2.156700199999999956e+00,9.778130082536075074e-01
-1.401323799999999897e+00,4.601488000000000245e-01,9.776466768561818954e-01
-1.401148099999999896e+00,1.072011700000000012e+00,9.775248068539814650e-01
-1.401063100000000006e+00,5.371008999999999922e-01,9.774658486855863915e-01
-1.397000599999999926e+00,7.613938999999999568e-01,9.746479950490505306e-01
-1.397000599999999926e+00,7.529883000000000548e-01,9.746479950490505306e-01
-1.393065500000000068e+00,2.874383999999999828e-01,9.719185093025568545e-01
-1.392964199999999986e+00,4.610427000000000275e-01,9.718482450383398863e-01
-1.388475600000000032e+00,2.623046500000000059e+00,9.687348375717665938e-01
-1.385569400000000062e+00,6.764873999999999610e-01,9.667190231130589062e-01
-1.384006899999999929e+00,4.660172000000000203e-01,9.656352332528527205e-01
-1.382867599999999975e+00,5.874167999999999612e-01,9.648449857087039172e-01
-1.381854300000000091e+00,4.502218000000000053e-01,9.641421349788820150e-01
-1.379188099999999917e+00,6.312208999999999737e-01,9.622927906427019007e-01
-1.379188099999999917e+00,5.266208999999999474e-01,9.622927906427019007e-01
-1.379188099999999917e+00,5.372989999999999711e-01,9.622927906427019007e-01
-1.378128800000000043e+00,2.094585700000000106e+00,9.615580331393956959e-01
-1.375373299999999910e+00,3.773908999999999736e-01,9.596467480451250642e-01
-1.374508899999999922e+00,2.364033899999999910e+00,9.590471781538212337e-01
